REF_DATE,GEO,Gender,Sociodemographic_characteristics,Indicators,VALUE
2021-04,Canada (excluding territories),Women,Korean,Fair or poor perceived mental health,NA
2021-04,Canada (excluding territories),Women,Japanese,Excellent or very good perceived mental health,NA
2021-04,Canada (excluding territories),Women,Japanese,Good perceived mental health,NA
2021-04,Canada (excluding territories),Women,Japanese,Fair or poor perceived mental health,NA
2021-04,Canada (excluding territories),Women,"Visible minority, not included elsewhere",Excellent or very good perceived mental health,NA
2021-04,Canada (excluding territories),Women,"Visible minority, not included elsewhere",Good perceived mental health,NA
2021-04,Canada (excluding territories),Women,"Visible minority, not included elsewhere",Fair or poor perceived mental health,NA
2021-04,Canada (excluding territories),Women,Multiple visible minorities,Excellent or very good perceived mental health,NA
2021-04,Canada (excluding territories),Women,Multiple visible minorities,Good perceived mental health,NA
2021-04,Canada (excluding territories),Women,Multiple visible minorities,Fair or poor perceived mental health,NA
2021-04,Canada (excluding territories),Women,Not a visible minority,Excellent or very good perceived mental health,38.4
2021-04,Canada (excluding territories),Women,Not a visible minority,Good perceived mental health,36.4
2021-04,Canada (excluding territories),Women,Not a visible minority,Fair or poor perceived mental health,25.2
2021-04,Canada (excluding territories),Women,"Total, by Indigenous identity",Excellent or very good perceived mental health,38.4
2021-04,Canada (excluding territories),Women,"Total, by Indigenous identity",Good perceived mental health,36.5
2021-04,Canada (excluding territories),Women,"Total, by Indigenous identity",Fair or poor perceived mental health,25.1
2021-04,Canada (excluding territories),Women,Indigenous identity,Excellent or very good perceived mental health,31.8
2021-04,Canada (excluding territories),Women,Indigenous identity,Good perceived mental health,33.1
2021-04,Canada (excluding territories),Women,Indigenous identity,Fair or poor perceived mental health,35.1
2021-04,Canada (excluding territories),Women,Single Indigenous identity,Excellent or very good perceived mental health,31.4
2021-04,Canada (excluding territories),Women,Single Indigenous identity,Good perceived mental health,33.3
2021-04,Canada (excluding territories),Women,Single Indigenous identity,Fair or poor perceived mental health,35.3
2021-04,Canada (excluding territories),Women,First Nations,Excellent or very good perceived mental health,29.1
2021-04,Canada (excluding territories),Women,First Nations,Good perceived mental health,33.7
2021-04,Canada (excluding territories),Women,First Nations,Fair or poor perceived mental health,37.2
2021-04,Canada (excluding territories),Women,Métis,Excellent or very good perceived mental health,31.7
2021-04,Canada (excluding territories),Women,Métis,Good perceived mental health,34
2021-04,Canada (excluding territories),Women,Métis,Fair or poor perceived mental health,34.3
2021-04,Canada (excluding territories),Women,Inuk (Inuit),Excellent or very good perceived mental health,NA
2021-04,Canada (excluding territories),Women,Inuk (Inuit),Good perceived mental health,NA
2021-04,Canada (excluding territories),Women,Inuk (Inuit),Fair or poor perceived mental health,NA
2021-04,Canada (excluding territories),Women,Multiple Indigenous identities,Excellent or very good perceived mental health,NA
2021-04,Canada (excluding territories),Women,Multiple Indigenous identities,Good perceived mental health,NA
2021-04,Canada (excluding territories),Women,Multiple Indigenous identities,Fair or poor perceived mental health,NA
2021-04,Canada (excluding territories),Women,Non-Indigenous identity,Excellent or very good perceived mental health,38.6
2021-04,Canada (excluding territories),Women,Non-Indigenous identity,Good perceived mental health,36.6
2021-04,Canada (excluding territories),Women,Non-Indigenous identity,Fair or poor perceived mental health,24.8
2021-04,Canada (excluding territories),Women,"Total, persons with and without a disability, difficulty or long-term condition",Excellent or very good perceived mental health,38.4
2021-04,Canada (excluding territories),Women,"Total, persons with and without a disability, difficulty or long-term condition",Good perceived mental health,36.5
2021-04,Canada (excluding territories),Women,"Total, persons with and without a disability, difficulty or long-term condition",Fair or poor perceived mental health,25.1
2021-04,Canada (excluding territories),Women,"Persons with a disability, difficulty or long-term condition",Excellent or very good perceived mental health,25
2021-04,Canada (excluding territories),Women,"Persons with a disability, difficulty or long-term condition",Good perceived mental health,35.4
2021-04,Canada (excluding territories),Women,"Persons with a disability, difficulty or long-term condition",Fair or poor perceived mental health,39.6
2021-04,Canada (excluding territories),Women,"Persons without a disability, difficulty or long-term condition",Excellent or very good perceived mental health,48.6
2021-04,Canada (excluding territories),Women,"Persons without a disability, difficulty or long-term condition",Good perceived mental health,37.3
2021-04,Canada (excluding territories),Women,"Persons without a disability, difficulty or long-term condition",Fair or poor perceived mental health,14.1
2021-04,Canada (excluding territories),Women,"Total, LGBTQ2+ and non-LGBTQ2+ people",Excellent or very good perceived mental health,38.4
2021-04,Canada (excluding territories),Women,"Total, LGBTQ2+ and non-LGBTQ2+ people",Good perceived mental health,36.5
2021-04,Canada (excluding territories),Women,"Total, LGBTQ2+ and non-LGBTQ2+ people",Fair or poor perceived mental health,25.1
2021-04,Canada (excluding territories),Women,LGBTQ2+ people,Excellent or very good perceived mental health,11
2021-04,Canada (excluding territories),Women,LGBTQ2+ people,Good perceived mental health,31.3
2021-04,Canada (excluding territories),Women,LGBTQ2+ people,Fair or poor perceived mental health,57.8
2021-04,Canada (excluding territories),Women,Non-LGBTQ2+ people,Excellent or very good perceived mental health,40.3
2021-04,Canada (excluding territories),Women,Non-LGBTQ2+ people,Good perceived mental health,36.8
2021-04,Canada (excluding territories),Women,Non-LGBTQ2+ people,Fair or poor perceived mental health,22.8
2021-04,Canada (excluding territories),Women,"Total, highest certificate, diploma or degree",Excellent or very good perceived mental health,38.4
2021-04,Canada (excluding territories),Women,"Total, highest certificate, diploma or degree",Good perceived mental health,36.5
2021-04,Canada (excluding territories),Women,"Total, highest certificate, diploma or degree",Fair or poor perceived mental health,25.1
2021-04,Canada (excluding territories),Women,"No certificate, diploma or degree",Excellent or very good perceived mental health,34.7
2021-04,Canada (excluding territories),Women,"No certificate, diploma or degree",Good perceived mental health,36.2
2021-04,Canada (excluding territories),Women,"No certificate, diploma or degree",Fair or poor perceived mental health,29.1
2021-04,Canada (excluding territories),Women,Secondary (high) school diploma or equivalency certificate,Excellent or very good perceived mental health,38.3
2021-04,Canada (excluding territories),Women,Secondary (high) school diploma or equivalency certificate,Good perceived mental health,37.1
2021-04,Canada (excluding territories),Women,Secondary (high) school diploma or equivalency certificate,Fair or poor perceived mental health,24.6
2021-04,Canada (excluding territories),Women,"Postsecondary certificate, diploma or degree",Excellent or very good perceived mental health,39.4
2021-04,Canada (excluding territories),Women,"Postsecondary certificate, diploma or degree",Good perceived mental health,36.3
2021-04,Canada (excluding territories),Women,"Postsecondary certificate, diploma or degree",Fair or poor perceived mental health,24.3
2021-04,Canada (excluding territories),Women,Postsecondary certificate or diploma below bachelor level,Excellent or very good perceived mental health,38.8
2021-04,Canada (excluding territories),Women,Postsecondary certificate or diploma below bachelor level,Good perceived mental health,37.2
2021-04,Canada (excluding territories),Women,Postsecondary certificate or diploma below bachelor level,Fair or poor perceived mental health,24
2021-04,Canada (excluding territories),Women,Apprenticeship or trades certificate or diploma,Excellent or very good perceived mental health,42.7
2021-04,Canada (excluding territories),Women,Apprenticeship or trades certificate or diploma,Good perceived mental health,34.1
2021-04,Canada (excluding territories),Women,Apprenticeship or trades certificate or diploma,Fair or poor perceived mental health,23.2
2021-04,Canada (excluding territories),Women,"College, CEGEP or other non-university certificate or diploma",Excellent or very good perceived mental health,37.3
2021-04,Canada (excluding territories),Women,"College, CEGEP or other non-university certificate or diploma",Good perceived mental health,38.5
2021-04,Canada (excluding territories),Women,"College, CEGEP or other non-university certificate or diploma",Fair or poor perceived mental health,24.2
2021-04,Canada (excluding territories),Women,University certificate or diploma below bachelor level,Excellent or very good perceived mental health,40.1
2021-04,Canada (excluding territories),Women,University certificate or diploma below bachelor level,Good perceived mental health,36
2021-04,Canada (excluding territories),Women,University certificate or diploma below bachelor level,Fair or poor perceived mental health,23.9
2021-04,Canada (excluding territories),Women,Bachelor's degree or higher,Excellent or very good perceived mental health,40.3
2021-04,Canada (excluding territories),Women,Bachelor's degree or higher,Good perceived mental health,35
2021-04,Canada (excluding territories),Women,Bachelor's degree or higher,Fair or poor perceived mental health,24.7
2021-04,Canada (excluding territories),Women,Bachelor's degree,Excellent or very good perceived mental health,37.4
2021-04,Canada (excluding territories),Women,Bachelor's degree,Good perceived mental health,36.7
2021-04,Canada (excluding territories),Women,Bachelor's degree,Fair or poor perceived mental health,25.9
2021-04,Canada (excluding territories),Women,"University certificate, diploma or degree above bachelor level",Excellent or very good perceived mental health,46
2021-04,Canada (excluding territories),Women,"University certificate, diploma or degree above bachelor level",Good perceived mental health,31.7
2021-04,Canada (excluding territories),Women,"University certificate, diploma or degree above bachelor level",Fair or poor perceived mental health,22.3
2021-04,Canada (excluding territories),Women,"Total, by main activity",Excellent or very good perceived mental health,38.4
2021-04,Canada (excluding territories),Women,"Total, by main activity",Good perceived mental health,36.5
2021-04,Canada (excluding territories),Women,"Total, by main activity",Fair or poor perceived mental health,25.1
2021-04,Canada (excluding territories),Women,Working at a paid job or business,Excellent or very good perceived mental health,39.1
2021-04,Canada (excluding territories),Women,Working at a paid job or business,Good perceived mental health,37.7
2021-04,Canada (excluding territories),Women,Working at a paid job or business,Fair or poor perceived mental health,23.2
2021-04,Canada (excluding territories),Women,Retired,Excellent or very good perceived mental health,49.1
2021-04,Canada (excluding territories),Women,Retired,Good perceived mental health,35.8
2021-04,Canada (excluding territories),Women,Retired,Fair or poor perceived mental health,15.1
2021-04,Canada (excluding territories),Women,Other activity,Excellent or very good perceived mental health,30.2
2021-04,Canada (excluding territories),Women,Other activity,Good perceived mental health,35.4
2021-04,Canada (excluding territories),Women,Other activity,Fair or poor perceived mental health,34.5
2021-04,Canada (excluding territories),Women,"Total, urban and rural areas",Excellent or very good perceived mental health,38.4
2021-04,Canada (excluding territories),Women,"Total, urban and rural areas",Good perceived mental health,36.5
2021-04,Canada (excluding territories),Women,"Total, urban and rural areas",Fair or poor perceived mental health,25.1
2021-04,Canada (excluding territories),Women,Urban areas,Excellent or very good perceived mental health,37.8
2021-04,Canada (excluding territories),Women,Urban areas,Good perceived mental health,36.2
2021-04,Canada (excluding territories),Women,Urban areas,Fair or poor perceived mental health,26
2021-04,Canada (excluding territories),Women,Rural areas,Excellent or very good perceived mental health,41.9
2021-04,Canada (excluding territories),Women,Rural areas,Good perceived mental health,37.8
2021-04,Canada (excluding territories),Women,Rural areas,Fair or poor perceived mental health,20.3
2021-07,Canada (excluding territories),"Total, all persons","Total, 15 years and over",Excellent or very good perceived mental health,52
2021-07,Canada (excluding territories),"Total, all persons","Total, 15 years and over",Good perceived mental health,31.3
2021-07,Canada (excluding territories),"Total, all persons","Total, 15 years and over",Fair or poor perceived mental health,16.7
2021-07,Canada (excluding territories),"Total, all persons",15 to 24 years,Excellent or very good perceived mental health,47.3
2021-07,Canada (excluding territories),"Total, all persons",15 to 24 years,Good perceived mental health,25.3
2021-07,Canada (excluding territories),"Total, all persons",15 to 24 years,Fair or poor perceived mental health,27.5
2021-07,Canada (excluding territories),"Total, all persons",25 to 54 years,Excellent or very good perceived mental health,48.2
2021-07,Canada (excluding territories),"Total, all persons",25 to 54 years,Good perceived mental health,33.4
2021-07,Canada (excluding territories),"Total, all persons",25 to 54 years,Fair or poor perceived mental health,18.4
2021-07,Canada (excluding territories),"Total, all persons",25 to 34 years,Excellent or very good perceived mental health,42.8
2021-07,Canada (excluding territories),"Total, all persons",25 to 34 years,Good perceived mental health,33.8
2021-07,Canada (excluding territories),"Total, all persons",25 to 34 years,Fair or poor perceived mental health,23.4
2021-07,Canada (excluding territories),"Total, all persons",35 to 44 years,Excellent or very good perceived mental health,51.2
2021-07,Canada (excluding territories),"Total, all persons",35 to 44 years,Good perceived mental health,31.7
2021-07,Canada (excluding territories),"Total, all persons",35 to 44 years,Fair or poor perceived mental health,17.1
2021-07,Canada (excluding territories),"Total, all persons",45 to 54 years,Excellent or very good perceived mental health,51
2021-07,Canada (excluding territories),"Total, all persons",45 to 54 years,Good perceived mental health,34.9
2021-07,Canada (excluding territories),"Total, all persons",45 to 54 years,Fair or poor perceived mental health,14.1
2021-07,Canada (excluding territories),"Total, all persons",55 to 64 years,Excellent or very good perceived mental health,56.2
2021-07,Canada (excluding territories),"Total, all persons",55 to 64 years,Good perceived mental health,32
2021-07,Canada (excluding territories),"Total, all persons",55 to 64 years,Fair or poor perceived mental health,11.7
2021-07,Canada (excluding territories),"Total, all persons",65 years and over,Excellent or very good perceived mental health,60.1
2021-07,Canada (excluding territories),"Total, all persons",65 years and over,Good perceived mental health,30.2
2021-07,Canada (excluding territories),"Total, all persons",65 years and over,Fair or poor perceived mental health,9.7
2021-07,Canada (excluding territories),"Total, all persons",65 to 74 years,Excellent or very good perceived mental health,60.4
2021-07,Canada (excluding territories),"Total, all persons",65 to 74 years,Good perceived mental health,30.2
2021-07,Canada (excluding territories),"Total, all persons",65 to 74 years,Fair or poor perceived mental health,9.4
2021-07,Canada (excluding territories),"Total, all persons",75 years and over,Excellent or very good perceived mental health,59.6
2021-07,Canada (excluding territories),"Total, all persons",75 years and over,Good perceived mental health,30.2
2021-07,Canada (excluding territories),"Total, all persons",75 years and over,Fair or poor perceived mental health,10.2
2021-07,Canada (excluding territories),"Total, all persons","Total, by immigrant status",Excellent or very good perceived mental health,52
2021-07,Canada (excluding territories),"Total, all persons","Total, by immigrant status",Good perceived mental health,31.3
2021-07,Canada (excluding territories),"Total, all persons","Total, by immigrant status",Fair or poor perceived mental health,16.7
2021-07,Canada (excluding territories),"Total, all persons",Non-immigrants,Excellent or very good perceived mental health,50.3
2021-07,Canada (excluding territories),"Total, all persons",Non-immigrants,Good perceived mental health,31.9
2021-07,Canada (excluding territories),"Total, all persons",Non-immigrants,Fair or poor perceived mental health,17.8
2021-07,Canada (excluding territories),"Total, all persons",Immigrants,Excellent or very good perceived mental health,55.4
2021-07,Canada (excluding territories),"Total, all persons",Immigrants,Good perceived mental health,30.4
2021-07,Canada (excluding territories),"Total, all persons",Immigrants,Fair or poor perceived mental health,14.2
2021-07,Canada (excluding territories),"Total, all persons","Immigrants, 10 years or less in Canada",Excellent or very good perceived mental health,62
2021-07,Canada (excluding territories),"Total, all persons","Immigrants, 10 years or less in Canada",Good perceived mental health,26.9
2021-07,Canada (excluding territories),"Total, all persons","Immigrants, 10 years or less in Canada",Fair or poor perceived mental health,11.1
2021-07,Canada (excluding territories),"Total, all persons","Immigrants, more than 10 years in Canada",Excellent or very good perceived mental health,52.4
2021-07,Canada (excluding territories),"Total, all persons","Immigrants, more than 10 years in Canada",Good perceived mental health,31.9
2021-07,Canada (excluding territories),"Total, all persons","Immigrants, more than 10 years in Canada",Fair or poor perceived mental health,15.7
2021-07,Canada (excluding territories),"Total, all persons","Immigrants, years in Canada not stated",Excellent or very good perceived mental health,NA
2021-07,Canada (excluding territories),"Total, all persons","Immigrants, years in Canada not stated",Good perceived mental health,NA
2021-07,Canada (excluding territories),"Total, all persons","Immigrants, years in Canada not stated",Fair or poor perceived mental health,NA
2021-07,Canada (excluding territories),"Total, all persons",Non-permanent residents,Excellent or very good perceived mental health,68.3
2021-07,Canada (excluding territories),"Total, all persons",Non-permanent residents,Good perceived mental health,23.8
2021-07,Canada (excluding territories),"Total, all persons",Non-permanent residents,Fair or poor perceived mental health,7.9
2021-07,Canada (excluding territories),"Total, all persons","Total, by visible minority group",Excellent or very good perceived mental health,52
2021-07,Canada (excluding territories),"Total, all persons","Total, by visible minority group",Good perceived mental health,31.3
2021-07,Canada (excluding territories),"Total, all persons","Total, by visible minority group",Fair or poor perceived mental health,16.7
2021-07,Canada (excluding territories),"Total, all persons",Visible minority population,Excellent or very good perceived mental health,54.3
2021-07,Canada (excluding territories),"Total, all persons",Visible minority population,Good perceived mental health,30.1
2021-07,Canada (excluding territories),"Total, all persons",Visible minority population,Fair or poor perceived mental health,15.5
2021-07,Canada (excluding territories),"Total, all persons",South Asian,Excellent or very good perceived mental health,50.8
2021-07,Canada (excluding territories),"Total, all persons",South Asian,Good perceived mental health,32.6
2021-07,Canada (excluding territories),"Total, all persons",South Asian,Fair or poor perceived mental health,16.6
2021-07,Canada (excluding territories),"Total, all persons",Chinese,Excellent or very good perceived mental health,48.5
2021-07,Canada (excluding territories),"Total, all persons",Chinese,Good perceived mental health,37.2
2021-07,Canada (excluding territories),"Total, all persons",Chinese,Fair or poor perceived mental health,14.3
2021-07,Canada (excluding territories),"Total, all persons",Black,Excellent or very good perceived mental health,60.9
2021-07,Canada (excluding territories),"Total, all persons",Black,Good perceived mental health,23.5
2021-07,Canada (excluding territories),"Total, all persons",Black,Fair or poor perceived mental health,15.6
2021-07,Canada (excluding territories),"Total, all persons",Filipino,Excellent or very good perceived mental health,60.7
2021-07,Canada (excluding territories),"Total, all persons",Filipino,Good perceived mental health,26.6
2021-07,Canada (excluding territories),"Total, all persons",Filipino,Fair or poor perceived mental health,12.7
2021-07,Canada (excluding territories),"Total, all persons",Arab,Excellent or very good perceived mental health,62.9
2021-07,Canada (excluding territories),"Total, all persons",Arab,Good perceived mental health,25.8
2021-07,Canada (excluding territories),"Total, all persons",Arab,Fair or poor perceived mental health,11.3
2021-07,Canada (excluding territories),"Total, all persons",Latin American,Excellent or very good perceived mental health,56.9
2021-07,Canada (excluding territories),"Total, all persons",Latin American,Good perceived mental health,25.8
2021-07,Canada (excluding territories),"Total, all persons",Latin American,Fair or poor perceived mental health,17.3
2021-07,Canada (excluding territories),"Total, all persons",Southeast Asian,Excellent or very good perceived mental health,61.3
2021-07,Canada (excluding territories),"Total, all persons",Southeast Asian,Good perceived mental health,22.5
2021-07,Canada (excluding territories),"Total, all persons",Southeast Asian,Fair or poor perceived mental health,16.3
2021-07,Canada (excluding territories),"Total, all persons",West Asian,Excellent or very good perceived mental health,NA
2021-07,Canada (excluding territories),"Total, all persons",West Asian,Good perceived mental health,NA
2021-07,Canada (excluding territories),"Total, all persons",West Asian,Fair or poor perceived mental health,NA
2021-07,Canada (excluding territories),"Total, all persons",Korean,Excellent or very good perceived mental health,NA
2021-07,Canada (excluding territories),"Total, all persons",Korean,Good perceived mental health,NA
2021-07,Canada (excluding territories),"Total, all persons",Korean,Fair or poor perceived mental health,NA
2021-07,Canada (excluding territories),"Total, all persons",Japanese,Excellent or very good perceived mental health,NA
2021-07,Canada (excluding territories),"Total, all persons",Japanese,Good perceived mental health,NA
2021-07,Canada (excluding territories),"Total, all persons",Japanese,Fair or poor perceived mental health,NA
2021-07,Canada (excluding territories),"Total, all persons","Visible minority, not included elsewhere",Excellent or very good perceived mental health,NA
2021-07,Canada (excluding territories),"Total, all persons","Visible minority, not included elsewhere",Good perceived mental health,NA
2021-07,Canada (excluding territories),"Total, all persons","Visible minority, not included elsewhere",Fair or poor perceived mental health,NA
2021-07,Canada (excluding territories),"Total, all persons",Multiple visible minorities,Excellent or very good perceived mental health,NA
2021-07,Canada (excluding territories),"Total, all persons",Multiple visible minorities,Good perceived mental health,NA
2021-07,Canada (excluding territories),"Total, all persons",Multiple visible minorities,Fair or poor perceived mental health,NA
2021-07,Canada (excluding territories),"Total, all persons",Not a visible minority,Excellent or very good perceived mental health,51.1
2021-07,Canada (excluding territories),"Total, all persons",Not a visible minority,Good perceived mental health,31.8
2021-07,Canada (excluding territories),"Total, all persons",Not a visible minority,Fair or poor perceived mental health,17.1
2021-07,Canada (excluding territories),"Total, all persons","Total, by Indigenous identity",Excellent or very good perceived mental health,52
2021-07,Canada (excluding territories),"Total, all persons","Total, by Indigenous identity",Good perceived mental health,31.3
2021-07,Canada (excluding territories),"Total, all persons","Total, by Indigenous identity",Fair or poor perceived mental health,16.7
2021-07,Canada (excluding territories),"Total, all persons",Indigenous identity,Excellent or very good perceived mental health,43.3
2021-07,Canada (excluding territories),"Total, all persons",Indigenous identity,Good perceived mental health,26.1
2021-07,Canada (excluding territories),"Total, all persons",Indigenous identity,Fair or poor perceived mental health,30.6
2021-07,Canada (excluding territories),"Total, all persons",Single Indigenous identity,Excellent or very good perceived mental health,43.4
2021-07,Canada (excluding territories),"Total, all persons",Single Indigenous identity,Good perceived mental health,26.2
2021-07,Canada (excluding territories),"Total, all persons",Single Indigenous identity,Fair or poor perceived mental health,30.3
2021-07,Canada (excluding territories),"Total, all persons",First Nations,Excellent or very good perceived mental health,48.2
2021-07,Canada (excluding territories),"Total, all persons",First Nations,Good perceived mental health,20.3
2021-07,Canada (excluding territories),"Total, all persons",First Nations,Fair or poor perceived mental health,31.6
2021-07,Canada (excluding territories),"Total, all persons",Métis,Excellent or very good perceived mental health,38.8
2021-07,Canada (excluding territories),"Total, all persons",Métis,Good perceived mental health,32
2021-07,Canada (excluding territories),"Total, all persons",Métis,Fair or poor perceived mental health,29.2
2021-07,Canada (excluding territories),"Total, all persons",Inuk (Inuit),Excellent or very good perceived mental health,NA
2021-07,Canada (excluding territories),"Total, all persons",Inuk (Inuit),Good perceived mental health,NA
2021-07,Canada (excluding territories),"Total, all persons",Inuk (Inuit),Fair or poor perceived mental health,NA
2021-07,Canada (excluding territories),"Total, all persons",Multiple Indigenous identities,Excellent or very good perceived mental health,NA
2021-07,Canada (excluding territories),"Total, all persons",Multiple Indigenous identities,Good perceived mental health,NA
2021-07,Canada (excluding territories),"Total, all persons",Multiple Indigenous identities,Fair or poor perceived mental health,NA
2021-07,Canada (excluding territories),"Total, all persons",Non-Indigenous identity,Excellent or very good perceived mental health,52.3
2021-07,Canada (excluding territories),"Total, all persons",Non-Indigenous identity,Good perceived mental health,31.5
2021-07,Canada (excluding territories),"Total, all persons",Non-Indigenous identity,Fair or poor perceived mental health,16.2
2021-07,Canada (excluding territories),"Total, all persons","Total, persons with and without a disability, difficulty or long-term condition",Excellent or very good perceived mental health,52
2021-07,Canada (excluding territories),"Total, all persons","Total, persons with and without a disability, difficulty or long-term condition",Good perceived mental health,31.3
2021-07,Canada (excluding territories),"Total, all persons","Total, persons with and without a disability, difficulty or long-term condition",Fair or poor perceived mental health,16.7
2021-07,Canada (excluding territories),"Total, all persons","Persons with a disability, difficulty or long-term condition",Excellent or very good perceived mental health,36.1
2021-07,Canada (excluding territories),"Total, all persons","Persons with a disability, difficulty or long-term condition",Good perceived mental health,35.8
2021-07,Canada (excluding territories),"Total, all persons","Persons with a disability, difficulty or long-term condition",Fair or poor perceived mental health,28.1
2021-07,Canada (excluding territories),"Total, all persons","Persons without a disability, difficulty or long-term condition",Excellent or very good perceived mental health,64.8
2021-07,Canada (excluding territories),"Total, all persons","Persons without a disability, difficulty or long-term condition",Good perceived mental health,27.8
2021-07,Canada (excluding territories),"Total, all persons","Persons without a disability, difficulty or long-term condition",Fair or poor perceived mental health,7.4
2021-07,Canada (excluding territories),"Total, all persons","Total, LGBTQ2+ and non-LGBTQ2+ people",Excellent or very good perceived mental health,52
2021-07,Canada (excluding territories),"Total, all persons","Total, LGBTQ2+ and non-LGBTQ2+ people",Good perceived mental health,31.3
2021-07,Canada (excluding territories),"Total, all persons","Total, LGBTQ2+ and non-LGBTQ2+ people",Fair or poor perceived mental health,16.7
2021-07,Canada (excluding territories),"Total, all persons",LGBTQ2+ people,Excellent or very good perceived mental health,31.2
2021-07,Canada (excluding territories),"Total, all persons",LGBTQ2+ people,Good perceived mental health,28.6
2021-07,Canada (excluding territories),"Total, all persons",LGBTQ2+ people,Fair or poor perceived mental health,40.2
2021-07,Canada (excluding territories),"Total, all persons",Non-LGBTQ2+ people,Excellent or very good perceived mental health,53.3
2021-07,Canada (excluding territories),"Total, all persons",Non-LGBTQ2+ people,Good perceived mental health,31.5
2021-07,Canada (excluding territories),"Total, all persons",Non-LGBTQ2+ people,Fair or poor perceived mental health,15.1
2021-07,Canada (excluding territories),"Total, all persons","Total, highest certificate, diploma or degree",Excellent or very good perceived mental health,52
2021-07,Canada (excluding territories),"Total, all persons","Total, highest certificate, diploma or degree",Good perceived mental health,31.3
2021-07,Canada (excluding territories),"Total, all persons","Total, highest certificate, diploma or degree",Fair or poor perceived mental health,16.7
2021-07,Canada (excluding territories),"Total, all persons","No certificate, diploma or degree",Excellent or very good perceived mental health,48.4
2021-07,Canada (excluding territories),"Total, all persons","No certificate, diploma or degree",Good perceived mental health,33
2021-07,Canada (excluding territories),"Total, all persons","No certificate, diploma or degree",Fair or poor perceived mental health,18.6
2021-07,Canada (excluding territories),"Total, all persons",Secondary (high) school diploma or equivalency certificate,Excellent or very good perceived mental health,48.3
2021-07,Canada (excluding territories),"Total, all persons",Secondary (high) school diploma or equivalency certificate,Good perceived mental health,31.9
2021-07,Canada (excluding territories),"Total, all persons",Secondary (high) school diploma or equivalency certificate,Fair or poor perceived mental health,19.8
2021-07,Canada (excluding territories),"Total, all persons","Postsecondary certificate, diploma or degree",Excellent or very good perceived mental health,54.5
2021-07,Canada (excluding territories),"Total, all persons","Postsecondary certificate, diploma or degree",Good perceived mental health,30.7
2021-07,Canada (excluding territories),"Total, all persons","Postsecondary certificate, diploma or degree",Fair or poor perceived mental health,14.8
2021-07,Canada (excluding territories),"Total, all persons",Postsecondary certificate or diploma below bachelor level,Excellent or very good perceived mental health,54.7
2021-07,Canada (excluding territories),"Total, all persons",Postsecondary certificate or diploma below bachelor level,Good perceived mental health,30.7
2021-07,Canada (excluding territories),"Total, all persons",Postsecondary certificate or diploma below bachelor level,Fair or poor perceived mental health,14.5
2021-07,Canada (excluding territories),"Total, all persons",Apprenticeship or trades certificate or diploma,Excellent or very good perceived mental health,56.1
2021-07,Canada (excluding territories),"Total, all persons",Apprenticeship or trades certificate or diploma,Good perceived mental health,32.8
2021-07,Canada (excluding territories),"Total, all persons",Apprenticeship or trades certificate or diploma,Fair or poor perceived mental health,11.2
2021-07,Canada (excluding territories),"Total, all persons","College, CEGEP or other non-university certificate or diploma",Excellent or very good perceived mental health,53.8
2021-07,Canada (excluding territories),"Total, all persons","College, CEGEP or other non-university certificate or diploma",Good perceived mental health,30.3
2021-07,Canada (excluding territories),"Total, all persons","College, CEGEP or other non-university certificate or diploma",Fair or poor perceived mental health,15.9
2021-07,Canada (excluding territories),"Total, all persons",University certificate or diploma below bachelor level,Excellent or very good perceived mental health,55.7
2021-07,Canada (excluding territories),"Total, all persons",University certificate or diploma below bachelor level,Good perceived mental health,28.9
2021-07,Canada (excluding territories),"Total, all persons",University certificate or diploma below bachelor level,Fair or poor perceived mental health,15.4
2021-07,Canada (excluding territories),"Total, all persons",Bachelor's degree or higher,Excellent or very good perceived mental health,54.2
2021-07,Canada (excluding territories),"Total, all persons",Bachelor's degree or higher,Good perceived mental health,30.6
2021-07,Canada (excluding territories),"Total, all persons",Bachelor's degree or higher,Fair or poor perceived mental health,15.2
2021-07,Canada (excluding territories),"Total, all persons",Bachelor's degree,Excellent or very good perceived mental health,51.9
2021-07,Canada (excluding territories),"Total, all persons",Bachelor's degree,Good perceived mental health,30.8
2021-07,Canada (excluding territories),"Total, all persons",Bachelor's degree,Fair or poor perceived mental health,17.3
2021-07,Canada (excluding territories),"Total, all persons","University certificate, diploma or degree above bachelor level",Excellent or very good perceived mental health,57.7
2021-07,Canada (excluding territories),"Total, all persons","University certificate, diploma or degree above bachelor level",Good perceived mental health,30.3
2021-07,Canada (excluding territories),"Total, all persons","University certificate, diploma or degree above bachelor level",Fair or poor perceived mental health,12
2021-07,Canada (excluding territories),"Total, all persons","Total, by main activity",Excellent or very good perceived mental health,52
2021-07,Canada (excluding territories),"Total, all persons","Total, by main activity",Good perceived mental health,31.3
2021-07,Canada (excluding territories),"Total, all persons","Total, by main activity",Fair or poor perceived mental health,16.7
2021-07,Canada (excluding territories),"Total, all persons",Working at a paid job or business,Excellent or very good perceived mental health,51.6
2021-07,Canada (excluding territories),"Total, all persons",Working at a paid job or business,Good perceived mental health,32.4
2021-07,Canada (excluding territories),"Total, all persons",Working at a paid job or business,Fair or poor perceived mental health,15.9
2021-07,Canada (excluding territories),"Total, all persons",Retired,Excellent or very good perceived mental health,59.7
2021-07,Canada (excluding territories),"Total, all persons",Retired,Good perceived mental health,30.6
2021-07,Canada (excluding territories),"Total, all persons",Retired,Fair or poor perceived mental health,9.7
